product_code,is_stockout_sum,total_orders,stockout_rate,total_shortage
412172,160,194,0.8247,652.0
411845,157,191,0.822,538.0
410320,175,213,0.8216,742.0
402357,41,50,0.82,91.0
409748,144,176,0.8182,914.0
408519,180,220,0.8182,764.0
411512,62,76,0.8158,196.0
406829,66,81,0.8148,136.0
409030,35,43,0.814,176.0
413078,35,43,0.814,80.0
410246,39,48,0.8125,108.0
401540,104,128,0.8125,378.0
412587,72,89,0.809,166.0
410278,122,151,0.8079,494.0
404752,25,31,0.8065,101.0
403740,200,249,0.8032,847.0
409973,240,299,0.8027,1287.0
410513,65,81,0.8025,630.0
408310,134,167,0.8024,535.0
402225,69,86,0.8023,380.0
412574,69,86,0.8023,110.0
403561,296,369,0.8022,1464.0
404712,129,161,0.8012,372.0
412101,24,30,0.8,91.0
400916,20,25,0.8,148.0
409777,24,30,0.8,80.0
406724,388,488,0.7951,1151.0
410023,194,244,0.7951,1116.0
410771,174,219,0.7945,538.0
400156,23,29,0.7931,58.0
412278,46,58,0.7931,102.0
404577,153,193,0.7927,390.0
413074,42,53,0.7925,150.0
409033,76,96,0.7917,266.0
405602,38,48,0.7917,142.0
401960,19,24,0.7917,48.0
401762,30,38,0.7895,82.0
413083,67,85,0.7882,248.0
409404,115,146,0.7877,304.0
411249,111,141,0.7872,814.0
405186,96,122,0.7869,210.0
406844,96,122,0.7869,384.0
405773,621,790,0.7861,1274.0
416333,55,70,0.7857,206.0
403010,33,42,0.7857,66.39
408897,276,352,0.7841,548.0
404784,18,23,0.7826,38.0
402135,18,23,0.7826,24.0
406567,75,96,0.7812,142.0
411297,145,186,0.7796,365.0
412552,35,45,0.7778,60.0
409938,42,54,0.7778,62.0
408285,28,36,0.7778,119.0
412092,52,67,0.7761,143.0
406184,31,40,0.775,204.0
408925,130,168,0.7738,613.0
411564,51,66,0.7727,148.0
410803,112,145,0.7724,405.0
401526,281,364,0.772,6945.305
413340,91,118,0.7712,219.0
401545,30,39,0.7692,132.0
400736,163,212,0.7689,822.0
403618,119,155,0.7677,737.0
411305,603,788,0.7652,3060.0
403565,293,383,0.765,1634.0
413571,26,34,0.7647,474.0
407207,110,144,0.7639,2020.0
404782,42,55,0.7636,114.0
403711,74,97,0.7629,312.0
401155,16,21,0.7619,136.0
407961,329,432,0.7616,2296.0
408970,51,67,0.7612,178.0
408403,349,459,0.7603,1261.0
410927,19,25,0.76,72.0
401065,228,300,0.76,1389.0
408191,290,382,0.7592,1237.0
400551,66,87,0.7586,192.0
411160,415,548,0.7573,1980.22
401708,34,45,0.7556,88.0
410487,237,314,0.7548,1338.0
406965,43,57,0.7544,174.0
416372,273,362,0.7541,3563.0
409357,141,187,0.754,580.0
410492,55,73,0.7534,634.0
411282,90,120,0.75,529.0
415785,21,28,0.75,14.018
403501,60,80,0.75,231.0
415107,30,40,0.75,232.0
408342,303,405,0.7481,1817.0
412397,172,230,0.7478,1749.0
413070,71,95,0.7474,256.0
401262,121,162,0.7469,444.0
410886,56,75,0.7467,256.0
409145,100,134,0.7463,198.0
404931,41,55,0.7455,674.0
402382,962,1292,0.7446,5709.0
405449,203,273,0.7436,730.0
410279,107,144,0.7431,233.0
410614,205,276,0.7428,471.0
409977,323,435,0.7425,2620.0
406321,299,403,0.7419,1142.0
406138,161,217,0.7419,1245.0
412073,43,58,0.7414,321.0
412957,20,27,0.7407,39.0
413471,156,211,0.7393,453.0
411741,62,84,0.7381,931.0
415775,93,126,0.7381,270.0
407896,398,540,0.737,2477.0
414930,56,76,0.7368,76.868
404536,81,110,0.7364,514.0
408384,469,637,0.7363,2082.0
411571,36,49,0.7347,74.0
401539,36,49,0.7347,86.0
403553,22,30,0.7333,154.202
414997,22,30,0.7333,52.0
411389,1032,1409,0.7324,4534.0
409424,193,264,0.7311,542.0
406342,19,26,0.7308,98.0
414897,19,26,0.7308,114.0
403131,602,824,0.7306,1027.0
415940,130,178,0.7303,308.0
408960,127,174,0.7299,254.0
405559,86,118,0.7288,219.0
410826,150,206,0.7282,988.0
414267,16,22,0.7273,40.0
411283,80,110,0.7273,392.0
413122,16,22,0.7273,104.0
412148,162,223,0.7265,699.896
410028,191,264,0.7235,2249.0
401867,68,94,0.7234,362.0
404674,47,65,0.7231,138.0
409801,57,79,0.7215,294.0
412080,273,379,0.7203,957.0
403009,18,25,0.72,87.784
413073,59,82,0.7195,220.0
414552,23,32,0.7188,112.0
408996,23,32,0.7188,422.0
416007,28,39,0.7179,268.0
413642,259,361,0.7175,1190.0
409969,99,138,0.7174,311.0
405348,81,113,0.7168,298.0
410582,48,67,0.7164,102.0
407865,73,102,0.7157,204.0
410031,20,28,0.7143,62.0
412630,25,35,0.7143,90.0
411261,80,112,0.7143,491.0
404679,60,84,0.7143,224.0
406100,122,171,0.7135,598.0
408197,82,115,0.713,186.0
412400,131,184,0.712,275.0
410144,64,90,0.7111,201.0
406398,32,45,0.7111,150.0
410581,2170,3057,0.7098,13503.0
411025,22,31,0.7097,78.0
405734,56,79,0.7089,170.0
411492,284,401,0.7082,998.0
409858,354,500,0.708,4638.0
411867,305,431,0.7077,1062.0
416347,242,342,0.7076,962.0
404957,203,287,0.7073,612.0
411017,36,51,0.7059,44.0
401974,152,216,0.7037,289.0
412107,33,47,0.7021,64.0
407205,504,718,0.7019,7305.0
406644,40,57,0.7018,80.0
408921,14,20,0.7,141.0
408687,21,30,0.7,36.0
411583,21,30,0.7,30.0
402198,447,639,0.6995,1852.0
412649,114,163,0.6994,470.0
405976,88,126,0.6984,404.0
404702,405,580,0.6983,1545.0
402884,37,53,0.6981,1168.332
410015,129,185,0.6973,780.0
407336,623,894,0.6969,4516.0
405207,16,23,0.6957,104.0
402969,16,23,0.6957,57.874
412615,73,105,0.6952,176.0
412084,41,59,0.6949,520.0
400146,25,36,0.6944,92.0
400735,18,26,0.6923,194.0
407150,36,52,0.6923,106.0
401399,18,26,0.6923,43.0
410274,240,348,0.6897,454.0
412577,120,174,0.6897,505.0
410592,972,1411,0.6889,5840.0
408532,42,61,0.6885,178.0
410602,6045,8782,0.6883,35420.0
413327,75,109,0.6881,100.0
407844,688,1001,0.6873,3787.0
413314,35,51,0.6863,182.0
413859,48,70,0.6857,208.0
406046,24,35,0.6857,32.0
413233,61,89,0.6854,138.0
416632,158,231,0.684,44.748
401704,69,101,0.6832,75.0
407845,69,101,0.6832,662.0
410695,166,243,0.6831,1126.0
408905,595,872,0.6823,1633.927
410601,552,813,0.679,3645.0
411373,76,112,0.6786,291.0
415003,19,28,0.6786,49.0
406017,76,112,0.6786,107.0
413484,40,59,0.678,55.0
406708,77,114,0.6754,218.0
402441,52,77,0.6753,831.297
404199,83,123,0.6748,392.0
403375,83,123,0.6748,207.0
405309,29,43,0.6744,54.0
414383,68,101,0.6733,228.0
406437,41,61,0.6721,92.0
413788,53,79,0.6709,532.0
409928,55,82,0.6707,153.0
405292,435,649,0.6703,2474.0
401625,197,294,0.6701,600.0
409857,304,454,0.6696,2342.0
406104,97,145,0.669,791.0
410340,99,148,0.6689,340.0
409622,20,30,0.6667,86.0
413376,64,96,0.6667,212.0
410343,28,42,0.6667,445.0
413251,20,30,0.6667,46.0
402935,26,39,0.6667,86.0
412873,14,21,0.6667,102.0
408085,54,81,0.6667,187.0
409963,14,21,0.6667,40.0
411754,20,30,0.6667,26.0
402140,137,206,0.665,299.0
408393,135,203,0.665,301.0
411517,131,197,0.665,850.0
412078,190,286,0.6643,644.0
404592,65,98,0.6633,448.0
408620,179,270,0.663,556.0
411205,387,584,0.6627,2643.0
417021,96,145,0.6621,572.0
404273,178,269,0.6617,603.0
401975,35,53,0.6604,80.0
403473,279,423,0.6596,1234.0
408900,62,94,0.6596,264.0
407972,31,47,0.6596,97.0
408196,21,32,0.6562,60.0
411302,21,32,0.6562,52.0
410842,329,502,0.6554,1263.0
414382,19,29,0.6552,214.0
409307,1309,2000,0.6545,8621.5
408855,644,984,0.6545,2222.0
406726,87,133,0.6541,267.0
412096,17,26,0.6538,40.0
406442,298,456,0.6535,948.0
410765,49,75,0.6533,126.0
409068,120,184,0.6522,515.0
409949,15,23,0.6522,25.0
412632,123,189,0.6508,534.0
407875,41,63,0.6508,110.0
411518,54,83,0.6506,75.0
414654,13,20,0.65,13.0
411162,833,1282,0.6498,9885.0
412081,24,37,0.6486,109.0
408972,48,74,0.6486,69.0
412079,59,91,0.6484,348.0
406438,90,139,0.6475,195.0
406076,112,173,0.6474,212.0
410040,22,34,0.6471,119.0
406584,705,1091,0.6462,1784.0
403374,91,141,0.6454,285.0
407871,40,62,0.6452,216.0
413858,140,217,0.6452,389.0
407631,20,31,0.6452,38.0
412588,107,166,0.6446,414.0
402795,38,59,0.6441,108.0
405777,38,59,0.6441,84.0
406201,38,59,0.6441,56.0
405225,307,477,0.6436,867.0
417406,207,322,0.6429,550.0
404798,18,28,0.6429,56.0
401972,160,249,0.6426,348.0
408005,34,53,0.6415,88.0
414961,16,25,0.64,35.0
412076,16,25,0.64,54.0
400052,62,97,0.6392,400.0
412413,108,169,0.6391,276.5
410632,23,36,0.6389,23.817
413001,46,72,0.6389,118.0
414603,30,47,0.6383,145.0
404200,197,309,0.6375,725.0
407089,142,223,0.6368,350.0
401200,49,77,0.6364,126.0
414225,35,55,0.6364,141.0
410375,21,33,0.6364,66.0
407372,28,44,0.6364,57.0
408993,117,184,0.6359,357.0
406337,129,203,0.6355,441.88
411594,61,96,0.6354,166.0
412618,33,52,0.6346,80.0
410564,191,301,0.6346,451.0
409022,140,221,0.6335,969.0
406896,119,188,0.633,3501.248
412211,55,87,0.6322,525.0
405992,113,179,0.6313,312.0
408932,41,65,0.6308,50.0
413151,70,111,0.6306,238.0
400338,109,173,0.6301,325.0
408402,470,746,0.63,1456.0
405289,17,27,0.6296,20.0
409714,481,764,0.6296,1827.0
407991,39,62,0.629,132.0
411798,22,35,0.6286,86.0
405878,22,35,0.6286,52.0
404467,159,253,0.6285,789.0
402514,27,43,0.6279,30.0
410637,150,239,0.6276,493.0
409985,92,147,0.6259,672.0
409890,359,574,0.6254,1819.0
400763,40,64,0.625,170.0
404693,15,24,0.625,24.0
406743,15,24,0.625,34.0
400508,15,24,0.625,110.0
409482,25,40,0.625,74.0
405661,98,157,0.6242,305.0
407432,199,319,0.6238,3148.0
410264,43,69,0.6232,62.0
410936,38,61,0.623,103.0
408737,38,61,0.623,54.0
400834,269,432,0.6227,1278.0
412648,216,347,0.6225,829.0
403901,107,172,0.6221,619.0
402589,755,1214,0.6219,2717.235
409978,74,119,0.6218,99.0
412121,23,37,0.6216,51.0
412845,469,755,0.6212,1690.0
411273,18,29,0.6207,48.0
410315,521,840,0.6202,1583.0
405304,137,221,0.6199,352.0
407882,241,389,0.6195,2278.0
400674,122,197,0.6193,541.0
415683,13,21,0.619,13.768
406134,39,63,0.619,146.0
406585,13,21,0.619,32.0
414252,13,21,0.619,24.0
413610,81,131,0.6183,303.0
410687,21,34,0.6176,30.0
400134,84,136,0.6176,246.0
414248,16,26,0.6154,15.033
413494,72,117,0.6154,303.0
401027,104,169,0.6154,133.0
408458,35,57,0.614,68.0
405035,35,57,0.614,63.0
410403,159,259,0.6139,408.0
413025,62,101,0.6139,163.0
409856,160,261,0.613,675.0
410607,30,49,0.6122,60.0
411554,41,67,0.6119,110.0
409086,33,54,0.6111,50.0
407232,58,95,0.6105,145.0
407484,36,59,0.6102,254.344
409515,237,389,0.6093,961.0
409069,53,87,0.6092,121.0
410516,14,23,0.6087,41.0
410328,28,46,0.6087,196.0
413648,56,92,0.6087,103.0
407347,224,368,0.6087,712.0
413521,14,23,0.6087,54.0
413322,71,117,0.6068,183.0
414798,20,33,0.6061,29.0
410595,126,208,0.6058,400.0
409878,552,912,0.6053,3521.0
401736,165,273,0.6044,296.0
409929,29,48,0.6042,46.0
410296,202,335,0.603,563.0
404044,538,893,0.6025,45.421
407045,53,88,0.6023,178.0
411009,109,181,0.6022,194.0
409309,320,532,0.6015,75.986
402597,95,158,0.6013,138.0
408404,128,213,0.6009,532.0
412447,143,238,0.6008,447.0
406115,24,40,0.6,37.0
409330,33,55,0.6,55.0
410013,15,25,0.6,41.0
408579,24,40,0.6,106.0
414211,21,35,0.6,30.0
403020,18,30,0.6,99.0
413862,112,187,0.5989,607.0
405232,70,117,0.5983,113.0
407320,67,112,0.5982,1321.0
411805,58,97,0.5979,511.0
412009,196,328,0.5976,333.0
407967,342,573,0.5969,1095.0
411361,370,620,0.5968,1218.0
407699,282,473,0.5962,1349.0
410321,209,351,0.5954,907.0
407970,334,561,0.5954,1571.0
402818,50,84,0.5952,62.0
411511,22,37,0.5946,344.95
412062,110,185,0.5946,376.0
412538,19,32,0.5938,114.0
416546,38,64,0.5938,110.0
415106,209,352,0.5938,2326.0
407498,19,32,0.5938,22.0
415098,35,59,0.5932,64.0
409128,183,309,0.5922,277.0
407632,45,76,0.5921,108.0
412640,388,656,0.5915,2095.0
408549,110,186,0.5914,481.0
409888,55,93,0.5914,211.0
406693,52,88,0.5909,164.0
413444,39,66,0.5909,76.0
405285,59,100,0.59,330.0
405441,23,39,0.5897,42.0
412071,56,95,0.5895,190.0
406007,53,90,0.5889,97.0
413145,53,90,0.5889,143.0
412115,40,68,0.5882,180.0
408352,137,233,0.588,519.0
409736,27,46,0.587,44.0
408050,17,29,0.5862,33.0
411537,34,58,0.5862,113.0
410392,17,29,0.5862,26.0
407279,106,181,0.5856,360.0
411165,52,89,0.5843,160.0
412766,21,36,0.5833,56.0
412576,21,36,0.5833,40.0
402888,63,108,0.5833,918.212
407142,14,24,0.5833,38.0
407879,14,24,0.5833,30.0
410699,137,235,0.583,251.0
413592,160,275,0.5818,836.0
403376,318,547,0.5814,2295.712
407454,144,248,0.5806,453.0
400767,54,93,0.5806,162.0
408186,18,31,0.5806,36.0
407345,941,1621,0.5805,4450.0
409516,271,467,0.5803,1004.0
406945,22,38,0.5789,36.0
415832,48,83,0.5783,-12.377
405781,126,218,0.578,275.0
412647,41,71,0.5775,60.0
402968,15,26,0.5769,111.52
405469,60,104,0.5769,220.0
410675,15,26,0.5769,30.0
412025,23,40,0.575,49.0
414054,23,40,0.575,50.0
406621,62,108,0.5741,187.8
406778,31,54,0.5741,66.0
406133,211,368,0.5734,496.0
406334,215,375,0.5733,619.0
402817,86,150,0.5733,115.0
406032,12,21,0.5714,18.0
417238,44,77,0.5714,106.0
415680,48,84,0.5714,21.028
412090,16,28,0.5714,104.0
407051,16,28,0.5714,98.0
406360,12,21,0.5714,283.0
409438,361,632,0.5712,1325.0
406166,122,214,0.5701,184.0
411816,49,86,0.5698,76.0
415110,82,144,0.5694,255.0
407686,25,44,0.5682,52.0
403437,46,81,0.5679,1195.126
407531,92,162,0.5679,1041.0
407245,21,37,0.5676,647.041
412410,119,210,0.5667,242.0
407091,17,30,0.5667,26.0
408351,218,385,0.5662,632.0
406715,56,99,0.5657,109.0
403884,13,23,0.5652,43.0
407120,39,69,0.5652,70.195
413828,53,94,0.5638,59.0
411999,147,261,0.5632,269.0
405649,18,32,0.5625,47.0
401406,77,137,0.562,148.0
410449,78,139,0.5612,896.723
410486,207,369,0.561,428.0
410097,23,41,0.561,26.0
413692,23,41,0.561,412.128
400062,172,307,0.5603,753.0
400958,14,25,0.56,94.0
404206,84,150,0.56,116.0
415685,14,25,0.56,5.036
410106,14,25,0.56,14.0
400297,131,234,0.5598,427.0
405782,103,184,0.5598,207.0
411311,52,93,0.5591,298.0
411627,19,34,0.5588,22.0
412038,24,43,0.5581,80.0
410616,24,43,0.5581,62.0
405180,140,251,0.5578,212.0
407860,87,156,0.5577,447.0
415743,58,104,0.5577,7.055
408886,34,61,0.5574,432.0
409500,73,131,0.5573,174.0
411128,128,230,0.5565,392.0
417396,84,151,0.5563,172.0
409387,494,889,0.5557,1302.0
407670,25,45,0.5556,60.0
408969,15,27,0.5556,17.0
417268,20,36,0.5556,26.0
400102,15,27,0.5556,55.0
406893,91,164,0.5549,2576.328
406688,220,397,0.5542,1026.0
401846,31,56,0.5536,60.0
415105,171,309,0.5534,1042.0
405528,52,94,0.5532,97.0
402991,42,76,0.5526,74.0
402878,59,107,0.5514,296.088
408666,201,365,0.5507,679.0
407147,11,20,0.55,20.0
402088,11,20,0.55,46.0
410911,11,20,0.55,21.0
400775,22,40,0.55,88.222
412408,50,91,0.5495,285.0
407678,183,333,0.5495,980.0
407341,214,390,0.5487,3502.0
409063,130,237,0.5485,388.0
415814,215,392,0.5485,-4.428
412990,46,84,0.5476,166.0
408894,29,53,0.5472,78.0
403950,47,86,0.5465,70.0
412044,47,86,0.5465,249.0
408665,153,280,0.5464,382.0
407424,72,132,0.5455,580.0
415833,54,99,0.5455,1.84
411326,12,22,0.5455,12.0
401911,12,22,0.5455,53.44
401088,12,22,0.5455,20.0
407115,12,22,0.5455,101.0
406432,18,33,0.5455,26.0
415686,42,77,0.5455,65.914
413899,90,165,0.5455,411.0
404061,24,44,0.5455,119.0
413607,31,57,0.5439,120.0
408026,25,46,0.5435,25.0
405496,25,46,0.5435,70.0
413210,25,46,0.5435,59.0
405294,76,140,0.5429,383.0
411632,19,35,0.5429,58.364
403358,70,129,0.5426,192.0
410161,295,544,0.5423,85.825
412411,13,24,0.5417,22.0
402136,156,288,0.5417,372.0
405816,78,144,0.5417,223.0
406525,20,37,0.5405,6.821
415804,223,413,0.54,37.722
411463,48,89,0.5393,1497.0
401750,14,26,0.5385,32.0
412698,14,26,0.5385,14.0
414944,14,26,0.5385,19.0
411810,14,26,0.5385,26.0
409512,106,197,0.5381,203.0
406884,64,119,0.5378,392.689
413850,22,41,0.5366,284.0
408909,22,41,0.5366,28.0
408531,22,41,0.5366,72.0
407359,89,166,0.5361,270.0
410218,15,28,0.5357,52.0
411605,30,56,0.5357,67.0
407235,287,536,0.5354,1962.0
407001,276,516,0.5349,1246.0
405415,109,204,0.5343,225.0
411862,71,133,0.5338,110.0
409808,48,90,0.5333,117.0
403313,16,30,0.5333,23.0
411371,154,289,0.5329,209.0
412176,65,122,0.5328,290.0
410243,66,124,0.5323,216.0
414367,17,32,0.5312,100.0
410373,73,138,0.529,191.0
403490,37,70,0.5286,158.0
410050,217,411,0.528,597.0
410058,48,91,0.5275,140.0
401910,59,112,0.5268,357.74
401232,177,336,0.5268,691.0
407652,403,767,0.5254,756.0
411035,31,59,0.5254,112.0
403575,114,217,0.5253,753.0
404683,32,61,0.5246,54.0
411748,174,332,0.5241,828.0
402330,22,42,0.5238,878.96
409889,11,21,0.5238,48.0
406753,198,378,0.5238,495.0
414017,11,21,0.5238,3.318
408652,133,254,0.5236,342.0
413049,45,86,0.5233,68.0
413268,23,44,0.5227,64.0
410572,184,352,0.5227,708.0
411828,35,67,0.5224,128.0
410062,35,67,0.5224,91.0
402092,12,23,0.5217,18.0
414827,12,23,0.5217,44.0
411087,24,46,0.5217,44.0
408436,12,23,0.5217,12.0
411410,24,46,0.5217,36.0
412434,84,161,0.5217,223.0
407333,200,384,0.5208,710.0
403230,64,123,0.5203,54.024
413098,181,348,0.5201,758.0
405974,27,52,0.5192,87.959
408684,54,104,0.5192,182.0
412110,14,27,0.5185,38.0
413760,75,145,0.5172,150.0
408383,61,118,0.5169,100.0
412550,61,118,0.5169,530.0
415893,64,124,0.5161,116.0
401021,209,405,0.516,376.0
406271,66,128,0.5156,218.0
410980,83,161,0.5155,439.565
411807,54,105,0.5143,87.0
416508,151,294,0.5136,378.0
408924,20,39,0.5128,20.0
405284,223,435,0.5126,1162.0
409922,252,492,0.5122,478.0
403324,21,41,0.5122,27.0
410130,21,41,0.5122,46.0
400955,42,82,0.5122,144.0
415695,43,84,0.5119,102.0
407873,86,168,0.5119,280.0
408939,260,508,0.5118,487.0
408952,22,43,0.5116,90.0
410611,254,497,0.5111,381.0
405005,23,45,0.5111,250.0
408214,24,47,0.5106,44.354
406816,24,47,0.5106,42.0
407455,221,433,0.5104,1417.0
411679,52,102,0.5098,228.0
414093,27,53,0.5094,382.896
410297,29,57,0.5088,195.355
407259,30,59,0.5085,433.0
412754,35,69,0.5072,129.284
402394,38,75,0.5067,98.0
400762,39,77,0.5065,56.0
411010,155,306,0.5065,187.0
408031,40,79,0.5063,74.0
407292,141,279,0.5054,408.0
411385,65,129,0.5039,81.0
406570,71,141,0.5035,105.0
412578,80,159,0.5031,279.0
412190,308,614,0.5016,1147.0
407113,36,72,0.5,50.0
416513,45,90,0.5,194.0
402453,16,32,0.5,34.0
401616,25,50,0.5,156.0
417026,46,92,0.5,78.0
412505,34,68,0.5,66.0
412549,15,30,0.5,42.0
406581,115,230,0.5,255.0
413918,10,20,0.5,15.0
402796,19,38,0.5,52.0
412590,10,20,0.5,26.0
408915,27,54,0.5,77.0
413108,12,24,0.5,10.15
411420,23,46,0.5,26.0
411514,162,324,0.5,367.0
400542,37,74,0.5,92.0
411161,57,114,0.5,260.0
406823,21,42,0.5,38.0
407139,13,26,0.5,69.0
405833,11,22,0.5,22.0
401514,17,34,0.5,18.0
413789,66,132,0.5,412.0
408338,19,38,0.5,108.0
405527,47,94,0.5,144.0
404412,39,78,0.5,85.0
408832,61,122,0.5,114.0
405882,22,44,0.5,36.0
407255,23,46,0.5,950.0
414236,10,20,0.5,37.0
402506,42,84,0.5,84.783
406780,10,20,0.5,74.0
412082,154,309,0.4984,481.0
408187,356,716,0.4972,1426.977
401757,165,332,0.497,455.0
406530,109,220,0.4955,1320.928
410261,110,222,0.4955,426.0
408991,50,101,0.495,179.0
411696,159,322,0.4938,443.0
412349,2359,4778,0.4937,3329.887
414778,39,79,0.4937,46.0
410474,137,278,0.4928,306.0
411149,121,246,0.4919,224.0
414338,30,61,0.4918,74.0
402485,25,51,0.4902,164.0
401770,73,149,0.4899,332.0
400143,114,233,0.4893,154.0
417258,21,43,0.4884,30.0
404030,62,127,0.4882,306.968
415682,20,41,0.4878,10.412
413963,99,203,0.4877,285.0
409570,98,201,0.4876,2697.0
404672,194,398,0.4874,405.0
407299,77,158,0.4873,143.0
401959,19,39,0.4872,247.44
409867,36,74,0.4865,3696.0
400859,35,72,0.4861,42.0
401912,52,107,0.486,283.27
403359,17,35,0.4857,158.656
410181,17,35,0.4857,51.0
408570,49,101,0.4851,55.0
413267,16,33,0.4848,148.0
417102,31,64,0.4844,110.0
410139,46,95,0.4842,182.0
407876,297,614,0.4837,781.0
409810,87,180,0.4833,464.0
409677,29,60,0.4833,31.0
411595,28,58,0.4828,40.0
414965,14,29,0.4828,40.0
409712,197,408,0.4828,650.0
403225,97,201,0.4826,48.466
409119,110,228,0.4825,888.0
406009,152,315,0.4825,296.0
407515,94,195,0.4821,378.0
412882,13,27,0.4815,46.0
415904,13,27,0.4815,32.0
413117,13,27,0.4815,40.0
400920,13,27,0.4815,28.0
400548,77,160,0.4812,138.0
406857,133,277,0.4801,373.0
407044,24,50,0.48,313.427
408935,12,25,0.48,12.0
408072,12,25,0.48,20.0
407792,35,73,0.4795,35.0
400815,23,48,0.4792,56.0
406174,42,88,0.4773,215.341
411598,21,44,0.4773,36.0
401489,62,130,0.4769,162.0
414675,71,149,0.4765,166.0
401707,10,21,0.4762,26.0
405350,30,63,0.4762,44.0
402876,30,63,0.4762,173.808
414295,10,21,0.4762,18.0
411237,75,158,0.4747,265.0
405121,37,78,0.4744,36.083
405987,91,192,0.474,402.0
403786,27,57,0.4737,59.413
414464,45,95,0.4737,110.0
402923,26,55,0.4727,2245.8
405542,52,110,0.4727,720.461
416355,43,91,0.4725,276.0
411761,103,218,0.4725,475.0
416350,84,178,0.4719,263.0
410209,175,371,0.4717,4416.0
417356,58,123,0.4715,82.0
406853,106,225,0.4711,323.0
404218,97,206,0.4709,197.0
414285,32,68,0.4706,50.0
407659,32,68,0.4706,79.0
405094,16,34,0.4706,308.0
406791,442,940,0.4702,1907.244
403455,577,1228,0.4699,1999.005
408133,31,66,0.4697,39.0
410289,289,616,0.4692,667.0
414689,15,32,0.4688,18.0
415220,15,32,0.4688,15.837
413793,22,47,0.4681,103.0
402040,22,47,0.4681,63.0
