
order_number,order_created_date,order_created_time,requested_delivery_date,customer_number,order_row_number,product_code,order_qty,sales_unit,delivery_number,plant,storage_location,delivered_qty,transfer_number,warehouse_number,picking_confirmed_date,picking_confirmed_time,picking_picked_qty
32014559,2024-09-02,073120,2024-09-02,35810,20,404588,1.000,PRK,21042263,30588,2012,1.000,32017394,3001,2024-09-02,082935,1.000
32014560,2024-09-02,073843,2024-09-03,31508,10,403585,18.000,ST,21042267,30588,2012,18.000,32017410,3001,2024-09-02,173859,18.000
32014563,2024-09-02,073901,2024-09-02,33503,10,404115,12.000,KG,21042264,30588,2012,7.710,32017390,3001,2024-09-02,082601,7.710
32014564,2024-09-02,074423,2024-09-03,33062,10,402218,3.500,KG,21042270,30588,2012,3.490,32017416,3001,2024-09-02,233404,3.490
32014565,2024-09-02,074743,2024-09-03,31312,10,400592,2.000,BAG,21042293,30588,2012,2.000,32017408,3001,2024-09-02,182359,2.000
32014565,2024-09-02,074743,2024-09-03,31312,20,400375,10.000,KG,21042293,30588,2012,9.800,32017408,3001,2024-09-02,182819,9.800
32014566,2024-09-02,075050,2024-09-03,31527,10,403098,2.000,BAG,21042271,30588,2012,2.000,32017413,3001,2024-09-02,201859,2.000
32014567,2024-09-02,075132,2024-09-02,30837,10,417069,2.000,KLE,21042268,30588,2012,2.000,32017392,3001,2024-09-02,082243,2.000
32014568,2024-09-02,075314,2024-09-02,33664,10,400129,7.000,KG,21042269,30588,2012,6.980,32017393,3001,2024-09-02,082355,6.980
32014569,2024-09-02,074309,2024-09-04,31413,10,403098,2.000,BAG,21042297,30588,2012,2.000,32017427,3001,2024-09-04,021428,2.000
32014570,2024-09-02,080029,2024-09-03,34717,10,413134,8.000,ST,21042272,30588,2012,8.000,32017411,3001,2024-09-02,154031,8.000
32014571,2024-09-02,080812,2024-09-03,32794,10,404379,12.000,ST,21042273,30588,2012,12.000,32017409,3001,2024-09-02,173419,12.000
32014572,2024-09-02,080909,2024-09-05,32794,10,410118,3.000,ST,21042355,30588,2012,3.000,32017469,3001,2024-09-04,142956,3.000
32014575,2024-09-02,082159,2024-09-03,30774,10,404020,1.000,KI,21042274,30588,2012,1.000,32017399,3001,2024-09-03,002906,1.000
32014578,2024-09-02,082342,2024-09-03,30635,20,400027,2.000,KG,21042275,30588,2012,2.080,32017415,3001,2024-09-03,001650,2.080
32014581,2024-09-02,084927,2024-09-04,32192,10,416991,14.000,ST,21042298,30588,2002,14.000,32027646,3000,2024-09-03,062357,7.000
32014581,2024-09-02,084927,2024-09-04,32192,10,416991,14.000,ST,21042298,30588,2002,14.000,32027645,3000,2024-09-03,062354,7.000
32014584,2024-09-02,090705,2024-09-02,33047,10,400077,2.000,KG,21042276,30588,2012,2.060,32017395,3001,2024-09-02,095212,2.060
32014585,2024-09-02,090715,2024-09-02,31638,10,402889,1.000,BAG,21042277,30588,2012,1.000,32017398,3001,2024-09-02,094310,1.000
32014586,2024-09-02,090626,2024-09-02,31179,10,401016,3.000,KG,21042278,30588,2012,0.000,32017401,3001,2024-09-02,103305,0.000
32014586,2024-09-02,090626,2024-09-02,31179,20,400702,5.000,BAG,21042278,30588,2012,5.000,32017397,3001,2024-09-02,094734,5.000
32014587,2024-09-02,090831,2024-09-02,30946,10,400077,1.000,KG,21042279,30588,2012,1.040,32017396,3001,2024-09-02,095634,1.040
32014588,2024-09-02,091005,2024-09-03,32809,10,402218,14.000,KG,21042280,30588,2012,15.310,32017417,3001,2024-09-02,234658,15.310
32014589,2024-09-02,090917,2024-09-03,33550,10,402218,7.000,KG,21042281,30588,2012,6.890,32017414,3001,2024-09-02,233330,6.890
10696991,2024-09-02,094356,2024-09-02,33142,10,408023,16.000,ST,21042282,30588,2012,16.000,32017400,3001,2024-09-02,105918,16.000
32014600,2024-09-02,102729,2024-09-03,33295,10,417149,2.000,ST,21042283,1001,2010,2.000,32025518,3002,2024-09-02,115035,2.000
32014603,2024-09-02,103707,2024-09-03,33852,10,400592,1.000,BAG,21042284,1001,2010,1.000,32025521,3002,2024-09-02,140527,1.000
32014605,2024-09-02,104513,2024-09-04,32818,10,402218,21.000,KG,20002641,30588,2012,22.370,32017461,3001,2024-09-04,023956,22.370
32014605,2024-09-02,104513,2024-09-04,32818,20,400019,10.000,KG,20002641,30588,2012,10.260,32017464,3001,2024-09-04,024053,10.260
32014608,2024-09-02,104812,2024-09-03,33765,10,416728,6.000,ST,21042285,1001,2010,6.000,32025519,3002,2024-09-02,125918,4.000
32014608,2024-09-02,104812,2024-09-03,33765,10,416728,6.000,ST,21042285,1001,2010,6.000,32025517,3002,2024-09-02,120106,2.000
32014609,2024-09-02,105031,2024-09-03,32058,10,400575,10.000,KG,21042286,1001,2010,10.000,32025520,3002,2024-09-02,141852,10.000
32014613,2024-09-02,110052,2024-09-02,34648,10,402546,1.000,BAG,21042288,30588,2012,1.000,32017404,3001,2024-09-02,121842,1.000
32014614,2024-09-02,110142,2024-09-02,34696,10,402546,1.000,BAG,21042287,30588,2012,1.000,32017403,3001,2024-09-02,123105,1.000
32014615,2024-09-02,110218,2024-09-02,34573,10,402546,2.000,BAG,21042289,30588,2012,2.000,32017405,3001,2024-09-02,121827,2.000
32014616,2024-09-02,110242,2024-09-02,34666,10,402546,1.000,BAG,21042290,30588,2012,1.000,32017406,3001,2024-09-02,121851,1.000
32014617,2024-09-02,110310,2024-09-02,34628,10,402546,2.000,BAG,21042291,30588,2012,2.000,32017407,3001,2024-09-02,121836,2.000
32014618,2024-09-02,111641,2024-09-02,30667,10,400796,3.000,KRT,21042292,30588,2012,3.000,32017402,3001,2024-09-02,120713,3.000
32014623,2024-09-02,113738,2024-09-05,32676,20,406377,1.000,KI,20004744,1001,2001,1.000,32023840,3003,2024-09-04,103841,1.000
32014628,2024-09-02,120323,2024-09-03,34913,10,410484,2.000,ST,21042294,30588,2012,2.000,32017412,3001,2024-09-02,162055,2.000
32014656,2024-09-02,131724,2024-09-03,34662,10,403503,4.000,ST,21042295,30588,2012,4.000,32017429,3001,2024-09-03,104654,4.000
32014693,2024-09-02,151853,2024-09-03,33332,10,401016,3.000,KG,21042296,30588,2012,2.920,32017418,3001,2024-09-03,020723,2.920
32014693,2024-09-02,151853,2024-09-03,33332,20,400938,3.000,KG,21042296,30588,2012,3.040,32017418,3001,2024-09-03,020320,3.040
32014723,2024-09-03,071207,2024-09-03,33381,20,410484,2.000,ST,21042299,30588,2012,2.000,32017419,3001,2024-09-03,075037,2.000
32014724,2024-09-03,071615,2024-09-03,34079,10,410208,1.000,BAG,21042300,30588,2012,1.000,32017420,3001,2024-09-03,075549,1.000
32014725,2024-09-03,071834,2024-09-03,33884,10,410484,5.000,ST,21042301,30588,2012,5.000,32017421,3001,2024-09-03,075811,5.000
32014726,2024-09-03,072036,2024-09-03,33878,10,410484,6.000,ST,21042302,30588,2012,6.000,32017422,3001,2024-09-03,075917,6.000
32014729,2024-09-03,072204,2024-09-03,33887,10,410484,5.000,ST,21042303,30588,2012,5.000,32017423,3001,2024-09-03,080038,5.000
32014730,2024-09-03,072402,2024-09-03,30654,10,412380,4.000,ST,21042304,30588,2012,4.000,32017424,3001,2024-09-03,081628,4.000
32014731,2024-09-03,072605,2024-09-03,33884,10,411057,1.000,ST,21042306,30588,2007,1.000,32027679,3000,2024-09-04,132105,1.000
32014732,2024-09-03,072325,2024-09-03,33369,10,410476,3.000,ST,21042305,30588,2012,3.000,32017428,3001,2024-09-03,081328,3.000
32014733,2024-09-03,073727,2024-09-04,33387,20,410484,3.000,ST,21042307,30588,2012,3.000,32017456,3001,2024-09-03,160637,3.000
32014734,2024-09-03,074354,2024-09-04,32667,10,410397,50.000,ST,21042308,30588,2012,50.000,32017467,3001,2024-09-04,031843,43.000
32014734,2024-09-03,074354,2024-09-04,32667,10,410397,50.000,ST,21042308,30588,2012,50.000,32017458,3001,2024-09-03,161506,7.000
32014734,2024-09-03,074354,2024-09-04,32667,20,400383,4.000,KG,21042308,30588,2012,4.000,32017458,3001,2024-09-03,161401,4.000
32014735,2024-09-03,074534,2024-09-04,31379,10,409586,3.000,ST,21042309,30588,2012,3.000,32017443,3001,2024-09-03,115135,3.000
32014735,2024-09-03,074534,2024-09-04,31379,20,408341,1.000,KI,21042309,30588,2012,1.000,32017462,3001,2024-09-03,200021,1.000
32014740,2024-09-03,080838,2024-09-04,34752,10,410484,5.000,ST,21042310,30588,2012,5.000,32017457,3001,2024-09-03,160649,5.000
32014741,2024-09-03,082136,2024-09-05,31981,10,412709,1.000,KI,21042356,30588,2000,0.000,,,,,
32014748,2024-09-03,084535,2024-09-03,34047,10,416962,6.000,ST,21042311,30588,2012,6.000,32017434,3001,2024-09-03,093111,6.000
32014749,2024-09-03,085123,2024-09-09,30733,10,412813,2.000,KI,21042456,30588,2012,2.000,32017520,3001,2024-09-06,081735,2.000
10696992,2024-09-03,090718,2024-09-03,33964,10,413345,2.000,ST,21042312,30588,2012,2.000,32017425,3001,2024-09-03,095230,2.000
10696993,2024-09-03,090731,2024-09-03,33965,10,413345,1.000,ST,21042313,30588,2012,1.000,32017426,3001,2024-09-03,095239,1.000
10696994,2024-09-03,090826,2024-09-03,30964,10,417113,1.000,KLE,21042314,30588,2012,1.000,32017432,3001,2024-09-03,093425,1.000
10696995,2024-09-03,090644,2024-09-03,30997,10,405062,1.000,BAG,21042318,30588,2012,0.000,,,,,
10696996,2024-09-03,090853,2024-09-03,33840,10,410208,2.000,BAG,21042315,30588,2012,2.000,32017430,3001,2024-09-03,094006,2.000
10696997,2024-09-03,090831,2024-09-03,30729,10,400934,4.000,KG,21042316,30588,2012,4.080,32017431,3001,2024-09-03,093632,4.080
32014754,2024-09-03,091328,2024-09-04,31893,10,409719,1.000,ST,21042321,30588,2012,1.000,32017463,3001,2024-09-03,210925,1.000
10696998,2024-09-03,091604,2024-09-03,32268,10,406012,7.000,BAG,21042317,30588,2012,7.000,32017433,3001,2024-09-03,093635,7.000
32014756,2024-09-03,092432,2024-09-04,33233,20,407648,1.000,KI,21042322,30588,2012,1.000,32017444,3001,2024-09-03,123844,1.000
32014756,2024-09-03,092432,2024-09-04,33233,30,400122,5.000,KG,21042322,30588,2012,5.100,32017444,3001,2024-09-03,123818,5.100
32014757,2024-09-03,092624,2024-09-03,33680,10,409997,1.000,KI,21042319,30588,2012,1.000,32017436,3001,2024-09-03,094344,1.000
32014757,2024-09-03,092624,2024-09-03,33680,20,403098,1.000,BAG,21042320,30588,2012,1.000,32017435,3001,2024-09-03,102549,1.000
32014759,2024-09-03,093020,2024-09-04,33327,10,404248,1.000,KG,21042323,30588,2012,1.070,32017455,3001,2024-09-03,164528,1.070
32014773,2024-09-03,100903,2024-09-04,31258,10,407968,4.000,ST,21042324,1001,2010,4.000,32025523,3002,2024-09-03,123149,4.000
32014774,2024-09-03,100933,2024-09-04,33765,10,400303,10.000,KG,21042325,1001,2010,10.000,32025522,3002,2024-09-03,122113,10.000
32014778,2024-09-03,101810,2024-09-04,35809,10,401907,10.000,KG,21042326,30588,2013,10.000,32027647,3000,2024-09-03,135140,10.000
32014783,2024-09-03,105554,2024-09-03,34646,10,400981,2.000,KG,21042328,30588,2012,2.060,32017438,3001,2024-09-03,112706,2.060
32014784,2024-09-03,105747,2024-09-03,34630,10,400981,1.000,KG,21042329,30588,2012,1.080,32017439,3001,2024-09-03,113415,1.080
32014785,2024-09-03,105804,2024-09-03,34627,10,400981,2.000,KG,21042330,30588,2012,2.040,32017440,3001,2024-09-03,113234,2.040
32014786,2024-09-03,105826,2024-09-03,34667,10,400981,2.000,KG,21042327,30588,2012,2.100,32017437,3001,2024-09-03,112215,2.100
32014787,2024-09-03,105841,2024-09-04,31729,10,400122,6.000,KG,21042331,30588,2012,6.040,32017452,3001,2024-09-03,130754,6.040
32014788,2024-09-03,105915,2024-09-03,34574,10,400981,1.000,KG,21042332,30588,2012,0.980,32017441,3001,2024-09-03,113511,0.980
32014790,2024-09-03,105944,2024-09-03,34629,10,400981,1.000,KG,21042333,30588,2012,1.120,32017442,3001,2024-09-03,113327,1.120
32014791,2024-09-03,110012,2024-09-03,34621,10,400981,2.000,KG,21042334,30588,2012,2.020,32017445,3001,2024-09-03,113630,2.020
32014792,2024-09-03,110039,2024-09-03,34618,10,400981,1.000,KG,21042335,30588,2012,1.080,32017446,3001,2024-09-03,113546,1.080
32014793,2024-09-03,110101,2024-09-03,34666,10,400981,1.000,KG,21042336,30588,2012,1.060,32017447,3001,2024-09-03,113809,1.060
32014794,2024-09-03,110126,2024-09-03,34811,10,400981,1.000,KG,21042337,30588,2012,1.060,32017448,3001,2024-09-03,113454,1.060
32014795,2024-09-03,110139,2024-09-03,34573,10,400981,2.000,KG,21042338,30588,2012,1.980,32017449,3001,2024-09-03,113432,1.980
32014796,2024-09-03,110201,2024-09-03,34662,10,410997,4.000,ST,21042339,30588,2012,4.000,32017450,3001,2024-09-03,113826,4.000
32014798,2024-09-03,111028,2024-09-03,34662,10,410997,4.000,ST,21042340,30588,2012,4.000,32017451,3001,2024-09-03,113852,4.000
32014799,2024-09-03,111421,2024-09-04,33561,10,400316,1.000,KG,21042341,1001,2010,1.100,32025529,3002,2024-09-03,155221,1.100
32014801,2024-09-03,111749,2024-09-04,31475,10,401592,1.000,KI,21042342,1001,2010,1.000,32025525,3002,2024-09-03,115818,1.000
32014803,2024-09-03,111550,2024-09-04,30942,10,400447,1.000,ST,21042343,1001,2010,1.000,32025528,3002,2024-09-03,124626,1.000
32014806,2024-09-03,113704,2024-09-10,33811,10,410208,4.000,BAG,21042499,30588,2012,4.000,32017561,3001,2024-09-09,090007,4.000
32014807,2024-09-03,113751,2024-09-04,30857,10,403930,1.000,PRK,21042344,1001,2010,1.000,32025524,3002,2024-09-03,122227,1.000
32014809,2024-09-03,114020,2024-09-04,31258,10,415978,2.000,ST,21042345,1001,2010,2.000,32025526,3002,2024-09-03,122401,2.000
32014811,2024-09-03,115251,2024-09-04,31197,10,412245,10.000,ST,21042346,1001,2010,10.000,32025527,3002,2024-09-03,120806,10.000
32014824,2024-09-03,124229,2024-09-04,31628,10,416851,5.000,ST,21042347,30588,2012,5.000,32017466,3001,2024-09-04,060414,5.000
32014825,2024-09-03,124458,2024-09-03,33007,10,416760,12.000,KI,21042348,30588,2012,12.000,32017453,3001,2024-09-03,135652,12.000
32014825,2024-09-03,124458,2024-09-03,33007,20,409293,48.000,ST,21042348,30588,2012,48.000,32017453,3001,2024-09-03,135012,48.000
32014831,2024-09-03,131534,2024-09-05,32132,10,407559,1.000,PAK,21042357,30588,2000,1.000,32027659,3000,2024-09-04,114216,1.000
32014834,2024-09-03,131947,2024-09-05,32099,10,406794,1.000,KI,21042358,30588,2000,1.000,32027678,3000,2024-09-04,115822,1.000
32014834,2024-09-03,131947,2024-09-05,32099,20,406859,1.000,ST,21042358,30588,2000,1.000,32027661,3000,2024-09-04,114621,1.000
32014834,2024-09-03,131947,2024-09-05,32099,30,407554,1.000,PAK,21042358,30588,2000,1.000,32027660,3000,2024-09-04,114243,1.000
32014834,2024-09-03,131947,2024-09-05,32099,40,402329,1.000,KI,21042358,30588,2000,1.000,32027648,3000,2024-09-04,112621,1.000
32014834,2024-09-03,131947,2024-09-05,32099,50,404912,1.000,KI,,,,,,,,,
32014835,2024-09-03,132803,2024-09-05,31562,10,411564,10.000,KI,21042359,30588,2000,10.000,32027654,3000,2024-09-04,112719,1.000
32014835,2024-09-03,132803,2024-09-05,31562,10,411564,10.000,KI,21042359,30588,2000,10.000,32027650,3000,2024-09-04,112709,1.000
32014835,2024-09-03,132803,2024-09-05,31562,10,411564,10.000,KI,21042359,30588,2000,10.000,32027649,3000,2024-09-04,112707,1.000
32014835,2024-09-03,132803,2024-09-05,31562,10,411564,10.000,KI,21042359,30588,2000,10.000,32027657,3000,2024-09-04,112726,1.000
32014835,2024-09-03,132803,2024-09-05,31562,10,411564,10.000,KI,21042359,30588,2000,10.000,32027651,3000,2024-09-04,112712,1.000
32014835,2024-09-03,132803,2024-09-05,31562,10,411564,10.000,KI,21042359,30588,2000,10.000,32027656,3000,2024-09-04,112724,1.000
32014835,2024-09-03,132803,2024-09-05,31562,10,411564,10.000,KI,21042359,30588,2000,10.000,32027658,3000,2024-09-04,112729,1.000
32014835,2024-09-03,132803,2024-09-05,31562,10,411564,10.000,KI,21042359,30588,2000,10.000,32027653,3000,2024-09-04,112716,1.000
32014835,2024-09-03,132803,2024-09-05,31562,10,411564,10.000,KI,21042359,30588,2000,10.000,32027652,3000,2024-09-04,112714,1.000
32014835,2024-09-03,132803,2024-09-05,31562,10,411564,10.000,KI,21042359,30588,2000,10.000,32027655,3000,2024-09-04,112721,1.000
32014835,2024-09-03,132803,2024-09-05,31562,20,411571,10.000,KI,21042359,30588,2000,10.000,32027668,3000,2024-09-04,115139,1.000
32014835,2024-09-03,132803,2024-09-05,31562,20,411571,10.000,KI,21042359,30588,2000,10.000,32027670,3000,2024-09-04,115145,1.000
32014835,2024-09-03,132803,2024-09-05,31562,20,411571,10.000,KI,21042359,30588,2000,10.000,32027676,3000,2024-09-04,115200,1.000
32014835,2024-09-03,132803,2024-09-05,31562,20,411571,10.000,KI,21042359,30588,2000,10.000,32027674,3000,2024-09-04,115155,1.000
32014835,2024-09-03,132803,2024-09-05,31562,20,411571,10.000,KI,21042359,30588,2000,10.000,32027673,3000,2024-09-04,115152,1.000
32014835,2024-09-03,132803,2024-09-05,31562,20,411571,10.000,KI,21042359,30588,2000,10.000,32027672,3000,2024-09-04,115150,1.000
32014835,2024-09-03,132803,2024-09-05,31562,20,411571,10.000,KI,21042359,30588,2000,10.000,32027671,3000,2024-09-04,115147,1.000
32014835,2024-09-03,132803,2024-09-05,31562,20,411571,10.000,KI,21042359,30588,2000,10.000,32027669,3000,2024-09-04,115142,1.000
32014835,2024-09-03,132803,2024-09-05,31562,20,411571,10.000,KI,21042359,30588,2000,10.000,32027667,3000,2024-09-04,115137,1.000
32014835,2024-09-03,132803,2024-09-05,31562,20,411571,10.000,KI,21042359,30588,2000,10.000,32027675,3000,2024-09-04,115157,1.000
32014836,2024-09-03,133012,2024-09-05,31706,10,404912,1.000,KI,21042360,30588,2000,1.000,32027677,3000,2024-09-04,115742,1.000
32014841,2024-09-03,134356,2024-09-05,31346,10,406213,5.000,KI,21042361,30588,2000,5.000,32027663,3000,2024-09-04,114750,1.000
32014841,2024-09-03,134356,2024-09-05,31346,10,406213,5.000,KI,21042361,30588,2000,5.000,32027662,3000,2024-09-04,114747,1.000
32014841,2024-09-03,134356,2024-09-05,31346,10,406213,5.000,KI,21042361,30588,2000,5.000,32027664,3000,2024-09-04,114753,1.000
32014841,2024-09-03,134356,2024-09-05,31346,10,406213,5.000,KI,21042361,30588,2000,5.000,32027666,3000,2024-09-04,114758,1.000
32014841,2024-09-03,134356,2024-09-05,31346,10,406213,5.000,KI,21042361,30588,2000,5.000,32027665,3000,2024-09-04,114756,1.000
32014845,2024-09-03,135844,2024-09-03,33007,10,403742,80.000,PAK,21042349,30588,2012,80.000,32017459,3001,2024-09-03,154334,80.000
32014845,2024-09-03,135844,2024-09-03,33007,10,403742,80.000,PAK,21042349,30588,2012,80.000,32017454,3001,2024-09-03,142543,0.000
32014846,2024-09-03,140159,2024-09-04,31519,10,400070,2.000,KG,21042350,1001,2010,2.070,32025530,3002,2024-09-03,150744,2.070
32014847,2024-09-03,140314,2024-09-04,32485,10,400989,1.000,BAG,21042351,1001,2010,1.000,32025531,3002,2024-09-03,151055,1.000
32014851,2024-09-03,141553,2024-09-06,34038,10,400150,2.000,KRT,21042402,30588,2004,2.000,32027681,3000,2024-09-05,091730,2.000
32014862,2024-09-03,144446,2024-09-04,32157,10,403143,6.000,ST,21042352,1001,2010,6.000,32025532,3002,2024-09-03,161154,6.000
32014863,2024-09-03,144821,2024-09-04,31656,10,401012,1.000,KI,21042353,30588,2012,1.000,32017465,3001,2024-09-04,072449,1.000
32014864,2024-09-03,144829,2024-09-04,33975,10,402905,2.000,BAG,21042354,30588,2012,2.000,32017460,3001,2024-09-03,171620,2.000
32014902,2024-09-04,070448,2024-09-04,31869,10,408481,2.000,KI,21042362,30588,2012,2.000,32017470,3001,2024-09-04,073517,2.000
32014905,2024-09-04,072146,2024-09-04,33358,10,400376,5.000,KG,21042363,30588,2012,0.000,,,,,
32014906,2024-09-04,073030,2024-09-06,32478,10,410327,1.000,KI,21042403,30588,2005,1.000,32027683,3000,2024-09-05,105130,1.000
32014909,2024-09-04,073439,2024-09-05,32800,10,400380,2.000,ST,21042364,30588,2012,2.000,32017491,3001,2024-09-04,195711,2.000
32014910,2024-09-04,074732,2024-09-05,34298,10,401372,3.000,BAG,21042365,30588,2012,3.000,32017468,3001,2024-09-04,134510,3.000
32014918,2024-09-04,083107,2024-09-04,31555,10,407283,4.000,RAS,21042366,30588,2012,4.000,32017471,3001,2024-09-04,091734,4.000
32014918,2024-09-04,083107,2024-09-04,31555,20,407442,4.000,RAS,21042366,30588,2012,4.000,32017471,3001,2024-09-04,091808,4.000
32014918,2024-09-04,083107,2024-09-04,31555,30,407419,6.000,RAS,21042366,30588,2012,6.000,32017471,3001,2024-09-04,091701,6.000
32014919,2024-09-04,085901,2024-09-06,30811,10,412786,1.000,KI,,,,,,,,,
32014919,2024-09-04,085901,2024-09-06,30811,20,412815,1.000,KI,21042404,30588,2001,1.000,32027682,3000,2024-09-05,104843,1.000
32014925,2024-09-04,091809,2024-09-04,34574,10,401016,1.000,KG,21042371,30588,2012,0.000,,,,,
32014926,2024-09-04,100051,2024-09-04,34626,10,401016,1.000,KG,21042369,30588,2012,0.000,,,,,
32014927,2024-09-04,100110,2024-09-04,34642,10,401000,2.000,KG,21042370,30588,2012,2.120,32017473,3001,2024-09-04,122456,2.120
32014928,2024-09-04,100132,2024-09-04,34628,10,401016,2.000,KG,21042373,30588,2012,0.000,,,,,
32014929,2024-09-04,100152,2024-09-04,34629,10,401016,1.000,KG,21042374,30588,2012,0.000,,,,,
32014930,2024-09-04,100224,2024-09-04,34696,10,401016,1.000,KG,21042372,30588,2012,0.000,,,,,
32014931,2024-09-04,100251,2024-09-04,34662,10,401000,1.000,KG,21042368,30588,2012,1.120,32017472,3001,2024-09-04,122410,1.120
32014932,2024-09-04,100548,2024-09-04,34666,10,401000,1.000,KG,21042375,30588,2012,1.020,32017474,3001,2024-09-04,122539,1.020
32014933,2024-09-04,100632,2024-09-04,34664,10,401000,1.000,KG,21042376,30588,2012,1.140,32017475,3001,2024-09-04,122611,1.140
32014934,2024-09-04,100705,2024-09-04,34570,10,401000,1.000,KG,21042377,30588,2012,0.980,32017476,3001,2024-09-04,122806,0.980
32014935,2024-09-04,100746,2024-09-04,34811,10,401000,1.000,KG,21042378,30588,2012,1.000,32017477,3001,2024-09-04,122642,1.000
32014936,2024-09-04,100829,2024-09-04,34622,10,401016,2.000,KG,21042379,30588,2012,0.000,,,,,
32014937,2024-09-04,100854,2024-09-04,34678,10,401016,1.000,KG,21042367,30588,2012,0.000,,,,,
32014938,2024-09-04,100912,2024-09-04,34644,10,401016,1.000,KG,21042380,30588,2012,0.000,,,,,
10696999,2024-09-04,100930,2024-09-04,34647,10,401016,1.000,KG,21042381,30588,2012,0.000,,,,,
32014939,2024-09-04,100850,2024-09-05,34138,10,411960,1.000,SK,21042382,30588,2012,1.000,32017478,3001,2024-09-04,121512,1.000
32014939,2024-09-04,100850,2024-09-05,34138,20,404433,1.000,ST,21042382,30588,2012,1.000,32017478,3001,2024-09-04,121305,1.000
32014945,2024-09-04,103004,2024-09-05,31370,10,406938,1.000,BAG,21042384,1001,2010,1.000,32025533,3002,2024-09-04,105226,1.000
32014946,2024-09-04,103051,2024-09-05,32018,10,406938,1.000,BAG,21042383,1001,2010,1.000,32025534,3002,2024-09-04,105232,1.000
32014949,2024-09-04,104347,2024-09-04,34667,10,401000,1.000,KG,21042387,30588,2012,1.080,32017481,3001,2024-09-04,124355,1.080
32014950,2024-09-04,104425,2024-09-04,34678,10,401000,1.000,KG,21042385,30588,2012,0.940,32017479,3001,2024-09-04,124307,0.940
